degree,desc_id,accomplishments
M.S. Biostatistics,1,Awarded by the biostatistics department for outstanding biostatistical research and excellent poster presentation
M.S. Biostatistics,2,"Analyzed associations between transportation vulnerability and adverse diabetic health outcomes using ArcGIS visualization, Poisson regression, and Bayesian regression models with spatial random effects"
